name, Own Method, MI,
flask, True, False,
falcon, True, True,
bottle, True, True,
cherrypy, False, False,
klein, True, False,
aiohttp, False, False,
tornado, False, False,
webpy, False, False,
pyramid, True, False,
crankycoin, False, False,
mmgen, False, False,
Piper, DISCARDED, DISCARDED,
dashman, True, False,
bcwallet, False, True,
encompass, DISCARDED, DISCARDED,
django-cc, True, True,
pywallet, False, True,
DarkWallet, False, False,
python-trezor, False, True,
iot, DISCARDED, DISCARDED,
iot-1, DISCARDED, DISCARDED,
screenly-ose, False, False,
awesome-iot, DISCARDED, DISCARDED,
iot-python, True, True,
GrovePi, True, True,
iottoolkit, DISCARDED, DISCARDED,
iotedgedev, False, True,
aws-iot-device-sdk-python, False, False,
azure-iot-sdk-python, True, True,